grid,count,lat,lon
JN24jb,24,44.0625,4.791666666666667
FM18ap,16,38.645833333333336,-77.95833333333333
EN57th,15,47.3125,-88.375
EL96ww,9,26.9375,-80.125
JN88od,8,48.145833333333336,17.208333333333336
GG35gb,8,-24.9375,-53.458333333333336
IN51pq,8,41.6875,-8.708333333333334
LL55sh,7,25.3125,51.541666666666664
JN26ba,7,46.020833333333336,4.125
JM67lx,7,37.97916666666667,12.958333333333332
GG66ql,6,-23.520833333333332,-46.625
EM10dp,6,30.645833333333332,-97.70833333333333
JN11al,6,41.47916666666667,2.0416666666666665
FK88lb,5,18.0625,-63.04166666666667
KM17bb,5,37.0625,22.125
EM13lb,5,33.0625,-97.04166666666666
JO73ce,4,53.1875,14.208333333333332
JO32hj,4,52.395833333333336,6.625
GF28ai,4,-31.645833333333336,-55.958333333333336
GG66pj,4,-23.604166666666668,-46.708333333333336
IO70ni,4,50.35416666666667,-4.875
JN55lj,4,45.395833333333336,10.958333333333332
JN36gj,4,46.395833333333336,6.541666666666667
FF99rf,4,-30.770833333333336,-60.54166666666667
EM50wn,4,30.5625,-88.125
PF94kx,4,-35.02083333333333,138.875
EM95if,4,35.22916666666667,-81.29166666666666
JN53tm,3,43.520833333333336,11.625
EM21vt,3,31.8125,-94.20833333333333
JN68re,3,48.1875,13.458333333333334
JO22jp,3,52.645833333333336,4.791666666666667
EK70va,3,10.020833333333334,-84.20833333333333
JO21vj,3,51.395833333333336,5.791666666666667
FF78mm,3,-31.479166666666668,-64.95833333333333
KN10ln,3,40.5625,22.958333333333332
JO31fu,3,51.854166666666664,6.458333333333333
IO74bj,2,54.395833333333336,-5.875
JN44cc,2,44.10416666666667,8.208333333333332
JO10tu,2,50.85416666666667,3.6249999999999996
IM58jq,2,38.6875,-9.208333333333334
JN63ef,2,43.22916666666667,12.375
JN09fl,2,49.47916666666667,0.4583333333333333
JO22sa,2,52.020833333333336,5.541666666666667
JM89cg,2,39.270833333333336,16.208333333333336
GG52rf,2,-27.770833333333336,-48.54166666666667
RE66hl,2,-43.52083333333333,172.625
OK30it,2,10.8125,106.70833333333334
GF25mc,2,-34.89583333333333,-54.958333333333336
FF78wn,2,-31.4375,-64.125
PM37og,2,37.270833333333336,127.20833333333334
FN31lf,2,41.22916666666667,-73.04166666666666
PM01sd,1,31.145833333333332,121.54166666666667
JN70eu,1,40.85416666666667,14.375
OI37tg,1,-2.7291666666666665,107.625
PF95id,1,-34.854166666666664,138.70833333333331
JN66bc,1,46.10416666666667,12.125
PM57kl,1,37.47916666666667,130.875
JN63af,1,43.22916666666667,12.041666666666666
JN62pb,1,42.0625,13.291666666666666
JN61it,1,41.8125,12.708333333333332
LN21jw,1,41.9375,44.791666666666664
JO32pm,1,52.520833333333336,7.291666666666667
JN81af,1,41.22916666666667,16.041666666666668
JO50px,1,50.97916666666667,11.291666666666666
LL39wf,1,29.229166666666664,47.875
JO94el,1,54.47916666666667,18.375
JO10oq,1,50.6875,3.208333333333333
JO90nh,1,50.3125,19.125
JO20hx,1,50.97916666666667,4.625
JO90ig,1,50.270833333333336,18.708333333333336
JO71sf,1,51.22916666666667,15.541666666666666
JO71in,1,51.5625,14.708333333333332
JN56vj,1,46.395833333333336,11.791666666666666
JO22pr,1,52.72916666666667,5.291666666666667
JO51cs,1,51.770833333333336,10.208333333333332
JO30ef,1,50.22916666666667,6.375
LL55qi,1,25.354166666666664,51.375
DN13ps,1,43.770833333333336,-116.70833333333333
JN54dq,1,44.6875,10.291666666666666
FI06ar,1,-3.2708333333333335,-79.95833333333333
FN41wp,1,41.645833333333336,-70.125
FN32xi,1,42.35416666666667,-72.04166666666666
FN31ki,1,41.35416666666667,-73.125
FN30iu,1,40.85416666666667,-73.29166666666666
FN20wv,1,40.895833333333336,-74.125
FK90hk,1,10.4375,-61.375
FK90gp,1,10.645833333333334,-61.458333333333336
FJ26gc,1,6.104166666666666,-75.45833333333333
EN82hn,1,42.5625,-83.375
GF25jc,1,-34.89583333333333,-55.208333333333336
EN82ep,1,42.645833333333336,-83.625
EN34hl,1,44.47916666666667,-93.375
EN26mx,1,46.97916666666667,-94.95833333333333
EM89ad,1,39.145833333333336,-83.95833333333333
EM88mq,1,38.6875,-82.95833333333333
EM56px,1,36.97916666666667,-88.70833333333333
EM00wp,1,30.645833333333332,-98.125
EL87ux,1,27.979166666666664,-82.29166666666666
GF15ac,1,-34.89583333333333,-57.958333333333336
GG67ga,1,-22.979166666666668,-47.458333333333336
JN46pn,1,46.5625,9.291666666666666
IO82ql,1,52.47916666666667,-2.6250000000000004
JN45qq,1,45.6875,9.375
JN45pq,1,45.6875,9.291666666666666
JN45nt,1,45.8125,9.125
JN45nk,1,45.4375,9.125
JN23wl,1,43.47916666666667,5.875
JN06ij,1,46.395833333333336,0.7083333333333333
JM77lu,1,37.85416666666667,14.958333333333332
IO93gk,1,53.4375,-1.4583333333333333
IO81wl,1,51.47916666666667,-2.1250000000000004
GG67lc,1,-22.895833333333336,-47.04166666666667
IO73eg,1,53.270833333333336,-5.625
IO71wc,1,51.10416666666667,-4.125
IM58jp,1,38.645833333333336,-9.208333333333334
IM57uo,1,37.60416666666667,-8.291666666666668
GI58tp,1,-1.3541666666666667,-48.375
GG86ix,1,-23.020833333333336,-43.29166666666667
GG77mk,1,-22.5625,-44.958333333333336
GG68gd,1,-21.854166666666668,-47.458333333333336
RH42el,1,-17.520833333333336,168.375
