date,avg_frequency_mhz,num_bands_active,total_spots,avg_signal_quality,signal_quality_std,cw_percentage,ssb_percentage,activity_hours_count,peak_hour,40m_band_percentage
2025-11-07,23252.034535,8.000000,1332.000000,54.637838,6.516812,60.305344,4.580153,24.000000,20.000000,12.837838
2025-11-08,19565.470417,8.000000,3982.000000,54.940860,7.559211,7.949791,1.324965,24.000000,15.000000,16.574586
2025-11-09,19422.656336,8.000000,3717.000000,56.479381,2.870412,3.540462,1.734104,24.000000,16.000000,18.213613
